,Ingredient,Number of Usage
1301,bing cherri,14
1302,bouillon cub,13
1303,liquid,13
1304,countri,13
1305,brew coffe,13
1306,chocolate hazelnut,13
1307,spirulina powd,13
1308,peach schnapp,13
1309,pecorino chees,13
1310,curry sauc,13
1311,flounder,13
1312,pork sirloin,13
1313,sweet relish,13
1314,chipotle chili pepp,13
1315,pie spic,13
1316,dashi stock,13
1317,mushroom piec,13
1318,brazil nut,13
1319,canadian bacon,13
1320,espresso bean,13
1321,lumpia wrapp,13
1322,miso,13
1323,camembert chees,13
1324,chipotle salsa,13
1325,erythritol sweeten,13
1326,herb season,13
1327,tm,13
1328,cassava flour,13
1329,crab leg,13
1330,jigger tequila,13
1331,watermelon rind,13
1332,sandwich rol,13
1333,elbow,13
1334,nacho chees,13
1335,gingersnap,13
1336,lime wedg,13
1337,chipotle chili powd,13
1338,grana padano chees,13
1339,black mustard,13
1340,mango pure,13
1341,basil spread,13
1342,ladyfinger cooki,13
1343,cherry preserv,13
1344,duck fat,13
1345,romaine heart,12
1346,morsel,12
1347,soda crack,12
1348,chile-garlic sauc,12
1349,amaranth,12
1350,golden beet,12
1351,dry spaghetti,12
1352,candied citron,12
1353,vanilla bak,12
1354,beef skirt steak,12
1355,brick cream chees,12
1356,cherry brandi,12
1357,cream con,12
1358,plum sauc,12
1359,cubanelle pepp,12
1360,pancake syrup,12
1361,apple brandi,12
1362,pimiento,12
1363,gemelli pasta,12
1364,oat cer,12
1365,jigger rum,12
1366,szechuan peppercorn,12
1367,sole,12
1368,goos,12
1369,serrano chil,12
1370,orange bitt,12
1371,veal cutlet,12
1372,cheese curd,12
1373,semolina,12
1374,mezcal,12
1375,soy chorizo,12
1376,chipotl,12
1377,top,12
